"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.716705231E0,4.531026840E0,1.425747156E0,8.431180954E0
3.726694828E0,5.025429249E0,1.070208192E0,8.753201485E0
3.736678030E0,4.672284603E0,1.004367590E0,9.133879662E0
3.746661439E0,4.580107689E0,1.010353088E0,9.242815971E0
3.756653836E0,4.392162800E0,1.027112484E0,9.029731750E0
3.766676515E0,4.088099480E0,9.301473498E-1,8.474276543E0
3.776675854E0,4.290409565E0,7.194576263E-1,8.386888504E0
3.786677793E0,4.958391666E0,5.219359994E-1,8.506598473E0
3.796686243E0,5.615600109E0,6.416460276E-1,8.390480042E0
3.806684238E0,5.819107056E0,7.062895298E-1,8.070854187E0
3.816690120E0,6.003460884E0,8.068459630E-1,7.969100475E0
3.826682849E0,6.141127586E0,9.504981041E-1,8.301894188E0
3.836678521E0,6.119579315E0,9.062053561E-1,8.493430138E0
3.846674704E0,6.074089527E0,9.217676520E-1,8.348581314E0
3.856666622E0,5.688623428E0,8.882488012E-1,8.067262650E0
3.866657523E0,5.118803024E0,8.128314614E-1,7.890091896E0
3.876652474E0,4.996698856E0,7.110779285E-1,7.874529362E0
3.886653680E0,5.046977043E0,6.141127348E-1,7.902062893E0
3.896649245E0,5.367800236E0,5.985504389E-1,8.086416245E0
3.906646719E0,5.864596844E0,5.925649405E-1,8.192957878E0
3.916660187E0,6.542156219E0,7.350199223E-1,8.116343498E0
3.926883652E0,6.297947407E0,7.733271718E-1,7.760804653E0
3.936776807E0,6.156689644E0,6.835445762E-1,7.954735279E0
3.950931616E0,6.156689644E0,6.835445762E-1,7.954735279E0
3.959959886E0,5.999869347E0,5.973533392E-1,7.894880295E0
3.976675771E0,6.173449039E0,5.889736414E-1,7.785943985E0
3.986709425E0,6.397306919E0,5.291185975E-1,7.647080421E0
3.996668194E0,6.526593685E0,5.363011956E-1,7.987056732E0
4.006816617E0,6.373364925E0,6.643909812E-1,8.188169479E0
4.016652579E0,6.356605530E0,4.704606235E-1,8.067262650E0
4.026671156E0,6.331466198E0,3.663128614E-1,7.733271599E0
4.036652425E0,6.296750546E0,4.776432514E-1,7.151480675E0
4.046719771E0,6.269217014E0,7.074866295E-1,6.896498203E0
4.056665579E0,6.567295074E0,7.769184709E-1,7.253233910E0
4.066651194E0,6.737283707E0,7.469909191E-1,7.305906296E0
4.076712810E0,6.716932774E0,6.332663298E-1,7.167042732E0
4.086653810E0,6.728903770E0,6.033388376E-1,6.907271862E0
4.096642233E0,7.016208172E0,4.572925270E-1,7.261613846E0
4.106655617E0,7.224503517E0,3.902548850E-1,7.493851185E0
4.116644079E0,6.868964672E0,4.405331016E-1,7.244854450E0
4.126653425E0,6.509834290E0,4.309563041E-1,6.829460144E0
4.136678156E0,6.757634163E0,4.680664241E-1,6.829460144E0
4.146695156E0,7.001842976E0,4.261679053E-1,6.999448776E0
4.156678156E0,7.255628109E0,2.908954918E-1,7.240066051E0
4.166646271E0,7.369352818E0,3.639186621E-1,7.697358608E0
