"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.536692896E0,9.822463989E-2,4.001235962E-2,-6.195354462E-1
3.546718680E0,4.257309437E-1,-9.674823284E-2,7.260990143E-2
3.556695687E0,1.707754135E-1,5.501270294E-3,5.295753479E-2
3.566682498E0,-3.022646904E-1,1.727776527E-1,-1.719408035E-1
3.576686038E0,-5.186188221E-1,2.593690157E-1,-2.629280090E-1
3.586671962E0,-3.334741592E-1,1.375299692E-1,-1.085376740E-1
3.596683905E0,-2.946257591E-2,-3.889572620E-2,2.482385635E-1
3.606668338E0,6.967310905E-1,-3.420346975E-1,6.782350540E-1
3.616680978E0,5.572423935E-1,-2.616817951E-1,4.983873367E-1
3.626679201E0,5.005273819E-1,-2.147195339E-1,5.529594421E-1
3.636686967E0,1.253852844E-1,3.918981552E-2,2.096586227E-1
3.646681830E0,1.758432388E-2,1.159625053E-1,-6.364698410E-1
3.656662185E0,-1.003503799E-2,7.152688503E-2,-7.170715332E-1
3.666675401E0,5.906963348E-2,-2.901724577E-1,-2.094469070E-1
3.676677163E0,-2.006919384E-1,-5.155017376E-1,-1.219234467E-1
3.686684948E0,-3.990261555E-1,-2.125610113E-1,-4.833574295E-1
3.696681879E0,-9.173254967E-1,2.254378796E-1,-6.830244064E-1
3.706680729E0,-5.950345993E-1,3.515319824E-1,-4.439783096E-1
3.716705231E0,2.194008827E-1,1.383800507E-1,-2.821969986E-1
3.726694828E0,6.641449928E-1,-1.838257313E-1,5.969905853E-2
3.736678030E0,2.696342468E-1,-2.161730528E-1,4.564752579E-1
3.746661439E0,1.310753822E-1,-1.738860607E-1,5.840587616E-1
3.756653836E0,-1.197595596E-1,-1.190428734E-1,3.984355927E-1
3.766676515E0,-5.039215088E-1,-1.783443093E-1,-1.196155548E-1
3.776675854E0,-3.998746872E-1,-3.522369862E-1,-1.584672928E-1
3.786677793E0,1.597089767E-1,-5.165374875E-1,1.751136780E-2
