"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.733908891E0,-2.783102095E-1,-4.508389235E-1,2.188322991E-1
3.743885639E0,-2.825862765E-1,-5.058167577E-1,2.725884318E-1
3.753880686E0,-2.819754183E-1,-6.982393265E-1,3.110729456E-1
3.763890998E0,-2.624277174E-1,-9.059334993E-1,3.361184299E-1
3.773894115E0,-2.416583002E-1,-1.131342769E0,3.495574594E-1
3.783878212E0,-2.141693681E-1,-1.266954899E0,3.116838038E-1
3.793887530E0,-1.634675413E-1,-1.278561354E0,2.255518138E-1
3.803900516E0,-1.139874533E-1,-1.223583460E0,1.540805846E-1
3.813900009E0,-1.127657220E-1,-1.133786321E0,1.363654882E-1
3.823900044E0,-1.512502432E-1,-1.015278459E0,1.412524134E-1
3.833904465E0,-1.726305187E-1,-8.686707020E-1,1.357546151E-1
